transaction,from,to,gas,gas used,cumulative gas used,transaction value
transaction,from,to,gas,gas used,cumulative gas used,transaction value,contract code url,contract value
0x0101cb3f918503bb1bbb1f93698a2385cfd25b15007e217410cc87042dadcb5a,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,2668328,0.0,,0.0
0x01132c5c093a09d77ce0e8fa5e9fa6cd8f0393f9386e399f3261054df93080dd,0x54daeb3e8a6bbc797e4ad2b0339f134b186e4637,0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52,500000,500000,500000,0.1,,1.16e-16
0x011380aa138dde42abfc11703f7342f24bad4f98337afceaeaabed4d8b3e1d68,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,2168628,0.0,,0.0
0x0115646ad0c85209431bae6114883e53416a4a80ce2f12b37e44d587a6b7ac30,0x8bae48f227d978d084b009b775222baaf61ed9fe,0x21daf770988710118dc4536ff14ccfac09946626,64298,64298,207158,0.0,,0.2
0x0117881d70c31146a98e84a79778ee337ac1e6e9396d196ed5cda28a8f9cb9ac,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,3015794,0.0,,0.0
0x01223a4b698fd4ed6c1d44fc3af44050ee00744e8b3ce6060e552382761b68d6,0xb5606469f317018d21f504b6e1518e54b23fa761,0x1c48c43990837e1956db8d8b000df2af7491972d,120000,120000,204000,0.0,,0.0
0x01263d55204722a252c380c0cf68833a3aaf9e695ef130a26f3f908bf6edec86,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,90000,90000,1164000,0.0,,0.0
0x01353951d845a8df6069b96050d73be6490a82624f18c471bf89d1d26a0df196,0x6b925dd5d8ed6132ab6d0860b82c44e1a51f1fee,0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52,500000,500000,1078441,0.1,,1.16e-16
0x0137780a38f4ab3121726d22176899665f3ac21e84711f4de13f8ef824334c65,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,69055,879230,1e-18,,7.3357e-14
0x01423f8d3fd27b325c016d4f102af1aadbb6393110cc6cdbcb18c479b5948882,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,90000,90000,2453380,0.0,,0.0
0x014285230e4355c18be6086a0df0f40ce13f52cb6c0708aaca4a3b515eef9404,0xd49cffef1449a25bb5acfa8f4a965b2b7c071ab8,0x7de5aba7de728950c92c57d08e20d4077161f12f,250000,250000,807632,1e-18,,8.789e-14
0x014506eec01207484df562c08eb41418de39d666bad1e4c185a50de9ab4b275b,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,2252698,0.0,,0.0
0x0153a65781c3b1fa7355cea5e9df094f2899fa3e8ff8c8487ebbc003a81ac49f,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,90000,90000,720000,0.0,,0.0
0x01543d38d0126755d60456a107f5546514ffa60f8753d8e67ada5ef0697c250e,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,1617044,0.0,,0.0
0x015fac8c912950446bd9e8e4d807cc89ef7a52a0be737ba75ad43040e34ea969,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,68991,525321,1e-18,,7.3357e-14
0x0167169bfab3254a80a3468dfdf8d5ae063b4988110c5e85be7a09711760e036,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,90000,90000,1679690,0.0,,0.0
0x0169f0fa22fcd28bca36663f1491b2b50f762863c2ba21bcd1c02b34127057d5,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,68927,137918,1e-18,,7.3357e-14
0x017a90fc3422612faf070c102f5e722f42731d1a0ff911b1c06d43ace65d344d,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,69055,138110,1e-18,,7.3357e-14
0x0181f478990a7330b6343788f5aac0c0eec67de6051d2544174be15ae858f44b,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,2245810,0.0,,0.0
0x01913b538dc70659f71ecb0b96e6e780900720618e94fd9143041b4a16f9e416,0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,0x010622d2885d3eb139d3ea329f55563e9a73224d,250000,250000,250000,32.42321034,,0.0
0x019d697c392b28918e820637bb5b6788ff6889f7448b1b83985fbd5072b52575,0x68c64d6a906bc0ba95d405ff1d6d869ad6616a33,0x840144acfeb7453ce7b7fcc27772801cbeb7cdb5,100000,100000,121000,0.1,,0.0
0x01ac2b7fd5593e6ae8c7262ed4deef0232239ccef84f31f2e33052c6bb37c271,0x54daeb3e8a6bbc797e4ad2b0339f134b186e4637,0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52,500000,500000,1000000,0.1,,1.16e-16
0x01af9ae93d964ff1f96028b8af775ef89f0456da975a0aaef40b048f1a845462,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,952648,0.0,,0.0
0x01b29977ce2501217430ac68479de676c8438c5b1e7efc291c19dea1c70f5b19,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,69055,207037,1e-18,,7.3357e-14
0x01b8817c2a8e8093dced8d8792e47804349a9ad5d76299f31893954951663c6e,0x0047a8033cc6d6ca2ed5044674fd421f44884de8,0x94fabbb39f476e035bce4a8cde704ba7be438dff,1800000,1800000,1800000,0.0,,0.0
0x01ea8566db1e427b27afb5657f3b50ba681f6f211dd0cb6314431c21346fc0e3,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,2548820,0.0,,0.0
0x01f0b5ef8e2fc940b32b1edfbf9392d006e79a34faaee8f0a18135d3e99c0e0b,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,1703686,0.0,,0.0
0x0207c7696febbab1b8bf3aa8f040d0bc9e355ec35a414e920b8f9f074efb4cc1,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,90000,90000,1529134,0.0,,0.0
0x020a1b2c1baa60f00e5218c0baebc58b94036b4cfaa57a7c733bb220bd7f5dc9,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,2217772,0.0,,0.0
0x021703b7460fbbf389352c3ad9fc06f40ef27175aeba97ecd384dbccd75a3aa1,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,3088614,0.0,,0.0
0x0219e61e5a438b3dd98f6594107ec31865473d6032eee3e63d2a3850fcac1480,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,69055,749975,1e-18,,7.3357e-14
0x0232cb2e15501bc20830d53b0984b6bd7bd77e4c4184067776a6fc2d417bd7af,0x9a132bef2a2c40f05b1cbc9f8e6b9abaa8f44229,0x2929626131c5b0524d8307bdc920f0e3ff0159cd,121000,78104,78104,0.0,,0.0
0x0235b6f0e28c1f5295ee6f8dede8a19c57bd222b8ed09e8ad2d06ab8c527ae41,0x54daeb3e8a6bbc797e4ad2b0339f134b186e4637,0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52,500000,500000,1000000,0.1,,1.16e-16
0x025249aafb05dde7d21c95e67f71ab998cf92cf9da97beecd1286ea2323730f3,0x54daeb3e8a6bbc797e4ad2b0339f134b186e4637,0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52,500000,500000,2000000,0.1,,1.16e-16
0x025c7cc540015d445aed87b599b42a28d6c122b86406b0b849e1b66f180765b6,0x54daeb3e8a6bbc797e4ad2b0339f134b186e4637,0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52,500000,500000,1000000,0.1,,1.16e-16
0x026b855549d4e9b3560bc660ffb3f705b3d68750b3ebaa85c2a8a91275bef64f,0xfcf9f6a78f06227522c6f948ec0119da31680ef7,0x109c4f2ccc82c4d77bde15f306707320294aea3f,500000,500000,500000,1.0,,9.0
0x026eac1ed4de31b219b4d8b370ae837b394f926d539b5908aaf4955ea7c30265,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,2147216,0.0,,0.0
0x026f381d7d4bb0dfa1ff35d4f08d9fa0aa3978e95cee274c61856af39efcaa27,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,90000,90000,1451690,0.0,,0.0
0x027d1514ae5d1c868029913d92354fa7f4df7ac68aade577dd78bc49cef47ab2,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,1395114,0.0,,0.0
0x027eb04941038d4edfb52ae411c9f6865b4111b39aa5dda876d03f14a125ce92,0xfcf9f6a78f06227522c6f948ec0119da31680ef7,0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52,500000,500000,500000,0.1,,1.16e-16
0x0283e28151fc7967b2729a903afb8042ad4749107c8f3d59ae574b34a66651a8,0xfcf9f6a78f06227522c6f948ec0119da31680ef7,0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52,500000,500000,500000,0.1,,1.16e-16
0x02866f116077ade73a11b9e46827e589dc6085bd3280b02de284cccc3f14d4b4,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,69055,396795,1e-18,,7.3357e-14
0x028761fb01aa05b75d90b4e46a3b9ee9f79b3987eab4024ae4700d3450bcdf4e,0x691a6ded47b4c56af5e8d0b7075c6e15fef27d2b,0x41b1f05abc05bf3ae5d0befd493b0ff94b192f71,65280,65280,86280,0.0,,0.118
0x029855f78b2ba3e580ca985637086d93d2444e9c83425881039730e450b52821,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,1582466,0.0,,0.0
0x029e9625fe8aa20bb2541a5a133eb48eda296ee193946ee4726142b1581e5d36,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,69055,444843,1e-18,,7.3357e-14
0x029fad2f631d23f6c80af47b215b4d84b536e10a46aeefb6d720a902e1009d19,0xe422763a8ccb24110f1574e354f07605137c1fa1,0x2faa316fc4624ec39adc2ef7b5301124cfb68777,2500000,2500000,2521000,0.0,,10.2128
0x02a3a01272ce936cf79d258053cedae0d1daf169f5466d2b726952a61bd11cc7,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,1813072,0.0,,0.0
0x02c430d9486d09568724f6a126c1a86cae4f85f51fa9b63062571356dcdf066a,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,3156778,0.0,,0.0
0x02c84b74cd2a526319d7d0cf6325ade0c8b0828e6fd162c5ab9bdb6153b99c41,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,90000,90000,2667000,0.0,,0.0
0x02d5b5565e92f3ee202933ddc6829cd7882a514c454028b8e553ff9d48416ebf,0xe422763a8ccb24110f1574e354f07605137c1fa1,0x2faa316fc4624ec39adc2ef7b5301124cfb68777,2500000,2500000,2500000,0.0,,10.2128
0x02d70b2241e16007e8a5f1a55a40c2f686c1e56460b5849730698983113edb6f,0x54daeb3e8a6bbc797e4ad2b0339f134b186e4637,0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52,500000,500000,2542000,0.1,,1.16e-16
0x02de896217f89654c7a6dd655ae0916c62d992abbcc59038c3686320ec32897a,0xd1220a0cf47c7b9be7a2e6ba89f429762e7b9adb,0x1f75047233517dcf67970d9e3c3bb385cb647f30,130219,30219,51219,0.01,,0.01
0x02f8e68bf39aeba57f89b72184578e45a8104216b8baea5d587df6136e55f0af,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,69055,826677,1e-18,,7.3357e-14
0x03034d74fe1b72806a0880c36acf8ba4bd32a9af3c0bf26fb5d584f3b7f4bd1b,0xe422763a8ccb24110f1574e354f07605137c1fa1,0x2faa316fc4624ec39adc2ef7b5301124cfb68777,2500000,2500000,2521000,0.0,,10.2128
0x030418cb3892ef5d588cce466e9362db8bec926a3a285717ff9729aba2b217dc,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,90000,90000,180000,0.0,,0.0
0x0310c99f7977b9ffdce73c4f0be0e1b9d068adb36b248988c586bc93e53ae8fc,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,2288008,0.0,,0.0
0x031258219d3b1dfe5229461179d9d9cae3df44f7f8279e49b074194846241a92,0x125244b5700dee9c20259282701d305873fde7f8,0x2af28ffbc078118022a813b3d266eb655c164296,1800000,1800000,2017547,1e-18,,0.0
0x031960d55f020c4e045228653b9139bc67ff28bbff548f044a7c113ac215e987,0xe422763a8ccb24110f1574e354f07605137c1fa1,0x2faa316fc4624ec39adc2ef7b5301124cfb68777,2500000,2500000,2689000,0.0,,10.2128
0x033daca7cd8f5eda7d76e8e26f37a6ffd2c68b9f0f9d30ff9acdef9d3f42823f,0x26588a9301b0428d95e6fc3a5024fce8bec12d51,0xe3a555ceea97d34dcd9223e878ff226808c7ca47,200000,200000,2063825,0.0,,0.0
0x03414dfec8b44d448c10b14b8039a51c8fadc6ffd1c27a35bdb52b6b4fc05944,0x8e2557f29a150502ce62e67aa5b0716e3818f159,0x0c8dcfbd72b278081b1c0c1d0bab0cf2201f2a19,200000,200000,276035,0.0,,0.0
0x034504521bb335c38a33c8582c8a0594676afafc6ec41a6119b62d1af62f101c,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,1156354,0.0,,0.0
0x0350670bab3b2580765ac56468aae4a13d64faaeec09c9154dac196d1c9b6004,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,69055,605614,1e-18,,7.3357e-14
0x035804eed01a4c5ea192e6b576adf6858ad7258d569c81d0961190844e9dc220,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,392712,0.0,,0.0
0x035b1b5a430a7aef1acf1a79a676de1a447b1e4f22ca3c841f6591eb460b8e57,0x39afc3556daa4d11a0a8f16ec1a490cd84aa6945,0x6b93de9436884b1330a98a1904679796ebba7a3d,80000,80000,157596,0.0,,0.0
0x035bbef237bd92f30a409453a00e133cde636be4c00f0ca1e5dc97e1a5d24cf0,0xe422763a8ccb24110f1574e354f07605137c1fa1,0x2faa316fc4624ec39adc2ef7b5301124cfb68777,2500000,2500000,2521000,0.0,,10.2128
0x035e4147aad154da768e6d493e6d11d0a7f8c18492be378e58169f13756b3023,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,718099,0.0,,0.0
0x036b21cbd0b1ac603fbbc520100050657bf1f0790e666dfbed480b7857601bb7,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,68991,137982,1e-18,,7.3357e-14
0x037fb6edc7911de904be1454df03b5824fe077db91458c4967596bd428fec8dc,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,2955848,0.0,,0.0
0x03809383371b62163e277715bde3082931e4c3ecd04c33f2ac0309e2a1bb7c72,0x40406c243663125ad18ac5729c3356cf673f1d7f,0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52,500000,500000,563000,0.1,,1.16e-16
0x03a4496bae1daec3e39e7f421cdb13b3f8626c00bfee4316230573938a855821,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,572776,0.0,,0.0
0x03a58b6040d6e15a14a61118ed49bb2dd488de94b6f3b3c1005396ed67ce249f,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,1067910,0.0,,0.0
0x03b3e997aa7ade2214d93d033882a99225e4f64d28bdaf013ac63eae75be9c26,0xe422763a8ccb24110f1574e354f07605137c1fa1,0x2faa316fc4624ec39adc2ef7b5301124cfb68777,2500000,2500000,2521000,0.0,,10.2128
0x03b8c520ea289a50d615ce432d63dcbf5c2ec2dbbb389b78af0a857d774884c3,0xe422763a8ccb24110f1574e354f07605137c1fa1,0x2faa316fc4624ec39adc2ef7b5301124cfb68777,2500000,2500000,2500000,0.0,,10.2128
0x03d377d46b215888f3222aa8e97b206733daca26fb7da5ae7542b78f74272d05,0x0047a8033cc6d6ca2ed5044674fd421f44884de8,0x9dc2e016d2eafc4094da7a767f61aeb28f75bff3,1800000,1800000,1800000,0.0,,0.0
0x03dbc4694350ec32d32e47eef0d2566969c2e221350bdc7c7274b5d17718937d,0x54daeb3e8a6bbc797e4ad2b0339f134b186e4637,0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52,500000,500000,1500000,0.1,,1.16e-16
0x03e178f420a2b5ce128c3a49f2060f3d52df3c1ba25361a8d5c3121e028b5315,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,90000,90000,2398696,0.0,,0.0
0x03ebaa3eb75a752993061badcfdd77050989751e34a966abc7b3be319cbca825,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,69055,930933,1e-18,,7.3357e-14
0x0407babd8ef687a42d5e378d5fd51857534fd0f56e9acb771ed80fa791cdc1b9,0x1f93b5e75a04b225816935c3d65f552cac88a61b,0x9af09991ad63814e53ffc1bccf213ee74027608b,250000,68991,345147,1e-18,,7.3357e-14
0x0428439d040645841fd83a54d07b438d692fb0cd2945e2730b9b37ecee88fd0d,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,727466,0.0,,0.0
0x042d3b17968593321ebea35d2228f832e038e6d8fa68c759297732d660d51f26,0xcf684dfb8304729355b58315e8019b1aa2ad1bac,0x6f3bc4c69867cd7b44b969af6b38de96d5d3473b,3000000,35692,35692,0.0,,0.0
0x0438be8e980fd2b6ddf77ff4533f325c17c90f5aefab408642136101528c12a2,0x4885759bbad9f9b67f87d0b30574186467513bc3,0x7de5aba7de728950c92c57d08e20d4077161f12f,250000,250000,250000,1e-18,,8.789e-14
0x043fee427a3c7c494562c9d5181716dbb1f203d2862f3d5b83ecc35a1cb7fc4b,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,1775114,0.0,,0.0
0x04617dfe1e10c544ce0c0ab4087bc28864012576c8eb7f76c7fce97a2150b4d7,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,3110730,0.0,,0.0
0x04658e84f204abf168344301617dc1fa17702395d22d48c17b4fa3f0c086454e,0x68c64d6a906bc0ba95d405ff1d6d869ad6616a33,0x38106a1dc529cd2d2436fac71eb4d9ccf2c26b32,100000,100000,100000,0.1,,0.0
0x04672c1459d280dd2e1f9906b4469950cffd661ea5a668a1b28fd83f9cae504e,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,2843030,0.0,,0.0
0x0473e7cc9524cb12496ffd689e307f805dca42cbfffc14ffc835d80d4b0d5877,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,1989494,0.0,,0.0
0x048060a2026e3756655c82f19edc2e4f78acba2027d82548db40ebb0859a2277,0x691a6ded47b4c56af5e8d0b7075c6e15fef27d2b,0x41b1f05abc05bf3ae5d0befd493b0ff94b192f71,64280,64280,187104,0.0,,0.118
0x0484dc5e794eef058d2400d7b00497f626284a038a05d406dd8a48ec97e6e219,0x54daeb3e8a6bbc797e4ad2b0339f134b186e4637,0xbaa54d6e90c3f4d7ebec11bd180134c7ed8ebb52,500000,500000,500000,0.1,,1.16e-16
0x0488040cf4e23099fd70e00ba086457fec85004fb5326c2519b71d1e46c5acce,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,95000,95000,1697606,0.0,,0.0
0x0489a084ef114715e0f6b0e831b15dbbf9a241e4edebf8710420aadefd348487,0xee219c1ebfc96f2ad1fc3f6398d4bc9abec94b44,0x8412ab39fc267f37249a4380f00ca19c8219b124,132442,32442,53442,0.0,,2.0
0x048ab68d205eed7b27f1cfd57e08e031620b23ec639acc21591803291a9287c7,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,90000,90000,2518332,0.0,,0.0
0x049582b023a7b509cd791f68e8184c204de2294f19b074e752a072828600f8cc,0x48175da4c20313bcb6b62d74937d3ff985885701,0x1158c3c9a70e85d8358972810ed984c8e6ffcf0f,90000,90000,1589626,0.0,,0.0
